پروژه/سامانه,تعداد دایرکتوری های لایه 1,تعداد کاربران
CONCEN,52,0
(SUBSIDY) سرویس سایه,53,26
Voucher Convertor,52,0
اتاق پایای الکترونیکی (پایا ),52,5
احراز هویت (ICAS),52,22
ارسال پیامک تراکنش‌ها (ساپتا),52,2
استخراج یکپارچه مبادلات نامتعارف (ایمن),52,0
استعلام آنی ( سانی),52,0
استعلام شبا,52,1
استعلام شعب,52,22
اعتبارات اسنادی ریالی (TDS),52,0
اینترنت بانک (سبا),52,22
بانک آیدی,53,23
بستر نوین اعتماد (برنا),52,0
بورس کالا,52,22
پرداخت لحظه ایی (پل),52,1
پروژه تجارت,53,2
تجارت بین‌ الملل مبتنی بر وب (میداس),52,0
تسویه اوراق بهادار الکترونیک (تابا),52,0
تلفن بانک,52,22
ثبت و پیمایش مبادلات چک ( پیچک ),52,2
چاپار,52,0
چکاد,52,1
چک های درون بانکی (CHQ),52,1
چک و اسناد کاغذی ( چکاوک ),52,1
دروازه ارتباطات نوین انفورماتیک (دانا),52,0
رابط کاربری سوئیچ کارت (سکان),52,0
رفع مغایرت (RFM),52,18
رمزبان,52,22
رمز یکبارمصرف امن (ریما),52,22
سامانه پرداخت نظام مند دوره ای (سپند),52,0
سامانه پیام رسانی الکترونیکی مالی ( سپام ارزی ),53,3
سامانه پیام رسانی الکترونیکی مالی ( سپام ریالی),52,22
سامانه تسویه ناخالص آنی (ساتنا),52,10
سامانه نظام هویت سنجی الکترونیکی بانکی (نهاب),52,53
سامانه یکپارچه مدیریت اوراق بهادار (سیما),52,0
سکوی بانکداری باز (شاهین),52,22
سوئیچ کارت (کارت ایران),52,7
سیستم بانکداری خرد (بانک ایران),52,7
سیستم بانکداری متمرکز بانک مرکزی (نسیم),52,22
سیستم متمرکز تسهیلات,52,0
شارژ آنی (Top Up),52,22
شبکه الکترونیک پرداخت کارت (شاپرک),53,32
شبکه تبادل اطلاعات بین بانکی ( شتاب ),53,29
صدور یکپارچه الکترونیکی دسته چک (صیاد),52,0
فاش,52,0
قبوض (BPS),52,6
مانیتورینگ ادارات بازرسی (سیماپ),52,0
مانیتورینگ گرافانا,52,0
مبارزه با پولشویی,53,2
نظارت جامع و مانیتورینگ آنلاین خودپردازها (نجما),52,0
همراه بانک مبتنی بر USSD (همبانک),52,22
همراه بانک (هما),52,22
هوش تجاری (پویان),52,0
یکپارچه بانکداری خرد (ABIS),52,0
یکپارچه نظارت آنلاین (سینا),52,0
یوز,52,2
